"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Rodriguez, Eduardo",593958,"L","85.3","84.4","55.3","89.1",,"52.1",,,
"Freeland, Kyle",607536,"L","85.2","78.6","41.8","95.3",,"44.4",,"38.9",
"Miles, Spencer",693686,"R","85.1","82.9",,,,"80.7","25",,
"Irvin, Jake",663623,"R","84.7","78.4","55.1","82.4",,"81.1",,"55.3",
"Zeferjahn, Ryan",666171,"R","84.7","83",,,,,"40.9","51.3",
"Iglesias, Raisel",628452,"R","84.6","88.3",,"84.5",,,"35.1",,
"Thornton, Trent",663423,"R","84.3","76.5","40.1",,,"61.2",,"52.1",
"Sandlin, Nick",680704,"R","84.3",,,,"80.8",,"66.4",,
"Rodríguez, Yariel",684320,"R","84.3","92.1",,,"95.5",,"14.3",,
"Kay, Anthony",641743,"L","84","77.1","36.7","77.6",,,"42.9","53.1",
"Muñoz, Andrés",662253,"R","83.9","80.9",,"83.4",,,"40.2",,
"Pérez, Cionel",672335,"L","83.8","80.3",,,,"62.1",,,"39.5"
"Lucchesi, Joey",664192,"L","83.8","87.8",,,,"47.8",,,
"Sisk, Evan",681895,"L","83.7","81.6",,"80.3",,"78.9",,"57",
"Collyer, Gavin",686560,"R","83.7","78.8","19.5",,,,,"42.8",
"Herget, Jimmy",623474,"R","83.4","83.9",,"68.9",,,"30.6","55.3",
"Ritchie, JR",702275,"R","83.4","80.5","39.9","84.2",,"87.9","29.9",,
"Ramírez, Yohan",670990,"R","83.4","83.7",,,,"77.1",,"54",
"Holmes, Grant",656550,"R","83.2","72.9","65.1","89.7",,"44.7","26.4",,
"Antone, Tejay",622088,"R","83.1","74.9","38.8",,,"76",,"44.7",
"Kelly, Michael",547184,"R","83.1","79.2",,,,,"36.5","58.2",
"Armstrong, Shawn",542888,"R","82.9","89.1","49.8",,,,,"45.8",
"Barnett, Mason",686930,"R","82.8",,,,,"83.9","34.7","61.9",
"Bello, Brayan",678394,"R","82.5","85.9","13.3","97.4",,"58.1",,"44.9",
"King, Michael",650633,"R","82.5","74.1",,"97.3",,,"26.7","53.7",
"Kelly, Kevin",687330,"R","82.4","82.8",,"77.2",,,,"74.8",
"Hudson, Bryan",663542,"L","82.4","78.9","28.1",,,,,"79.6",
"Wrobleski, Justin",680736,"L","82.4","80.8",,"88.5",,"61.4","27.6",,
"Abel, Mick",690953,"R","82.3","75.8",,"62.3",,"73.4","26.3","55.1",
"Ashby, Aaron",676879,"L","82.3","80.3",,"77.1",,"87.4","43.6",,
"Banks, Tanner",621383,"L","82.2","82.2",,"69",,,"35.3","39",
"Cano, Yennier",666974,"R","82","80.3",,,"91.2",,"38",,
"Adams, Travis",701519,"R","81.9","83","50.9","83.9",,,"31.9",,
"Gallen, Zac",668678,"R","81.7","79.8",,"82.8",,"62.1","36.9",,
"Elder, Bryce",693821,"R","81.6","75.9","60.1","69.6",,,"37.7",,
"Holton, Tyler",663947,"L","81.6","83.5","39.9","97",,"86.8",,"65.2",
"Kochanowicz, Jack",686799,"R","81.5","75.8",,"61.8",,,"33.3",,
"Wicks, Jordan",696136,"L","81.4","85.4",,"96.3",,,"22.5",,
"Bolton, Cody",675989,"R","81.4","79.3","37.3","70.8",,"87.3",,"64.1",
"Morán, Jovani",663558,"L","81.3","80.8","32.1","83.4",,,,"47.3",
"Valdez, Framber",664285,"L","81.3","77.6",,"78.2",,"84.3","20.4",,
"Martin, Davis",663436,"R","81.3","75.3","40.2","68.7",,"66.7","22.2",,
"Holderman, Colin",670059,"R","81.3","87.5",,,,"73.7",,"35.8",
"Hancock, Emerson",676106,"R","81.3","84.2","23.9","99.2",,"71.8",,"62.6",
"Sims, Lucas",608371,"R","81.1",,,,,"60.7","34.6","38.2",
"Cavalli, Cade",676917,"R","80.9","82.1",,"95.1",,"79.9",,"76",
