"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Hader, Josh",623352,"L",,"98.9",,"94.3",,,"15",,
"Cousins, Jake",664776,"R",,"89.9",,,,,,"52.9",
"Schmidt, Clarke",657376,"R",,"58.3","41.8",,,"79.4","49.5","51",
"Mayza, Tim",641835,"L",,"82.9","48.1",,,,"17.2",,
"González, Victor",624647,"L",,"99.1",,"98.8",,,"20.1",,
"Holmes, Clay",605280,"R",,"71.8",,,,,"33.2","63.5",
"Funderburk, Kody",681892,"L",,"79.5","57.7","91.1",,,,"56.6",
"Guenther, Sean",674944,"L",,"81.2",,,"98.6",,"59.6",,
"Crouse, Hans",668968,"R",,"96.2",,"97.1",,,"26.8",,
"Lawrence, Justin",664875,"R",,"79.4",,,,,,"51.3",
"Bird, Jake",656234,"R",,"85.7","52.6",,,"80.6","53.3",,
"Blach, Ty",621389,"L",,"99.2","19","99.5",,"53.4",,,
"Peguero, Elvis",665625,"R",,"94.3",,,,,"25.6",,
"Ashcraft, Graham",668933,"R",,"56","56.6","68.2",,,"32.1",,
"Criswell, Cooper",681867,"R",,"82.5","45.7","86.1",,,"46.9","71.7",
"Valdez, Framber",664285,"L",,"79.5",,"79.4",,"78.6","27",,
"Whitlock, Garrett",676477,"R",,"98.7","37.7","93.1",,,"41.4","62.8",
"Bernardino, Brennan",657514,"L",,"78","26.1",,,"65.1","23.5",,
"Houck, Tanner",656557,"R",,"77.5","14.4",,"83.6",,,"67.1",
"Rodríguez, Joely",570257,"L",,"89.9",,"97.1",,,,"57.6",
"Jansen, Kenley",445276,"R",,"97.9","79.8",,,,"43.8","49.2",
"Alexander, Scott",518397,"L",,"77.3",,"77.6",,,"44.7",,
"McFarland, T.J.",519008,"L",,"86.6",,"91.5",,,,"68.3",
"Pennington, Walter",679156,"L",,"74.3","55.8",,,,"10.5",,
"Wood, Alex",622072,"L",,"99.6",,"98",,,"44.4",,
"Robertson, David",502085,"R",,"86.5","74.7","86.9",,"64.3","52.7",,
"Fleming, Josh",676596,"L",,"90.7","51.7","81.6",,"30.5",,,
"Holderman, Colin",670059,"R",,"81.2","40.2",,,,,"37.5",
"Borucki, Ryan",621366,"L",,"93.6",,"92.7",,,"33","31.6",
"Sánchez, Cristopher",650911,"L",,"97.9",,"91.5",,,"35.4",,
"Alvarado, José",621237,"L",,"96.5","47.8",,,,,,
"Spence, Mitch",687765,"R",,"63.6","29.6","68.3",,"78.1","57.9",,
"Davis, Austin",656354,"L",,"77.8","37.8",,,,,"56.3",
"Burnes, Corbin",669203,"R",,"72.1","60.2","75.5",,"75","42","55",
"Vespi, Nick",663989,"L",,,"41.9",,,"66","38",,
"Nittoli, Vinny",657697,"R",,,"56.6",,,"68.7",,"39.9",
"Bowman, Matt",621199,"R",,"89.6","60.3",,"81.9",,,"49.5",
"Tate, Dillon",622253,"R",,"90.2",,"98.3",,,,"42.6",
"Pop, Zach",647315,"R",,"76.5","51.5",,,,"42",,
"Little, Brendon",663893,"L",,"77.9","41.3",,,"77.8",,,
"Hartwig, Grant",701643,"R",,"97.9","64.8",,,,,"41.8",
"Young, Danny",664849,"L",,"86.8",,,,,,"62.9",
"Nance, Tommy",667297,"R",,"81.2",,,,"81.9","22.5",,
"Maton, Phil",664208,"R",,"69.1","55.3",,,"95.9","35.7","56.3",
"de Geus, Brett",676969,"R",,"87.8","16.3",,,"73.5",,,
"Young, Alex",622065,"L",,"81.3",,"76",,"30",,,
"Raley, Brooks",548384,"L",,,"34.6","87.7",,,,"59.3",
"Chavez, Jesse",445926,"R",,"92.1","69.5","96.4",,"80.4","45.5",,
"Emanuel, Kent",592288,"L",,"76.6",,"80.4",,,,"58.9",
"Santos, Gregory",666619,"R",,"61.4",,,,,"36.7",,
"Clase, Emmanuel",661403,"R",,"63.6","64.6",,,,"36.4",,
"Cobb, Alex",502171,"R",,"87.2",,,"75.6","70.5",,,
"Walker, Ryan",676254,"R",,"73",,,,,"53.5",,
"Doval, Camilo",666808,"R",,"60","65.3",,,,"30.3",,
"Hjelle, Sean",663546,"R",,"76","56.6",,,"52.6",,,
"Rogers, Tyler",643511,"R",,"68.9",,,,,"57.6",,
"Rogers, Taylor",573124,"L",,"88.2",,,,,,"62.5",
"Keuchel, Dallas",572971,"L",,"80.5","31","87.4",,,,,
"Grove, Michael",675627,"R",,"89.3","67.8",,,"78.2","30",,
"Ramirez, Nick",598286,"L",,"81.3",,"99.4",,,,"44.2",
"Roberts, Ethan",681799,"R",,"60.1","45.7",,,,,"69.5",
"Smyly, Drew",592767,"L",,"98.9","68.3",,,"38.3",,,
"O'Brien, Riley",676617,"R",,"88.8",,,,,"33.6","64.5",
"Matz, Steven",571927,"L",,"99.4",,"82.6",,"82.8","32.6",,
"Uribe, Abner",682842,"R",,"69.9",,,,,"34.7",,
"Sabrowski, Erik",681870,"L","99.6",,,,,"75.4","50.4",,
"Myers, Tobias",668964,"R","99.6",,"79","98.7",,"53.9","46.7",,
"Aguiar, Julian",687924,"R","99.5","98.5",,"99.1",,"71.3","45.2",,
"Barnes, Matt",598264,"R","99.5",,,,"94.3","71.9",,,
"Harvey, Hunter",640451,"R","99.5",,,,"82.2","88.3","27.7",,
"Plesac, Zach",668676,"R","99.5",,,"97.5",,"73.8","48.1",,
"Blalock, Bradley",687134,"R","99.5",,"51.3",,"98","65.2","29.3",,
"Heaney, Andrew",571760,"L","99.5","98",,"99.4",,"65.7","16.6",,"45.2"
