"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Alexander, Scott",518397,"L",,"78.6",,"91",,,"28.3",,
"Gsellman, Robert",607229,"R",,"91.6",,"99.4",,,"40.2",,
"Bender, Anthony",669622,"R",,"79",,"86.9",,,"53.9",,
"Burnes, Corbin",669203,"R",,"71.8","55.8","76.1",,"62.2","37.8",,
"Doval, Camilo",666808,"R",,"66.9","65.7",,,,"44.6",,
"Moll, Sam",594580,"L",,"67.3",,,,,,"54.5",
"Junis, Jakob",596001,"R",,"73","18.5","73.7",,,,"39.9",
"Snider, Collin",676092,"R",,"67.9",,"70.6",,,"37.9",,
"King, John",667463,"L",,"81","19.2","91.9",,,"38.7","60.8",
"Shaw, Bryan",543766,"R",,"61.5","50.2","76.2",,"82.3","31.6","51.7",
"Tate, Dillon",622253,"R",,"96",,"98.5",,,,"42",
"Mazza, Chris",607391,"R",,"87.6","30.3",,,,"63.4",,
"Cuas, Jose",621016,"R",,"80",,"98.6",,,"27",,
"Blach, Ty",621389,"L",,"99.2","24.8","98.7",,"59.4",,,
"Topa, Justin",623437,"R",,"89.9",,,,,,"63.3",
"Roberts, Ethan",681799,"R",,,"50.3",,,"78.8",,"69.4",
"Hernández, Jonathan",642546,"R",,"97.3",,"97.3",,,"27.2",,
"Perdomo, Luis",606131,"R",,"92.2",,,"96.3",,"19.4",,
"Dunning, Dane",641540,"R",,"79.7","48.9","99",,,"61.1","65.3",
"Appel, Mark",571446,"R",,"94",,,,,"61.1",,
"Vespi, Nick",663989,"L",,,"29.9",,,"58.2","40.5",,
"Rogers, Taylor",573124,"L",,"90.9",,,,,,"53.3",
"Weber, Ryan",543901,"R",,"91.9",,,,,"70.2",,
"Yacabonis, Jimmy",642231,"R",,"91.2",,"97.6",,,,"70.1",
"Alvarado, José",621237,"L",,"95","37",,,"40.9",,,
"Robertson, David",502085,"R",,,"72.5",,,"63.4","45.4",,
"Mayza, Tim",641835,"L",,"92.8",,,,,"22.5",,
"Bruihl, Justin",677865,"L",,"69.5","38.5",,,,,"57.1",
"Pop, Zach",647315,"R",,"85.4",,,,,"40.5",,
"Valdez, Phillips",570488,"R",,"98",,"90.8",,,"29.9",,
"Luetge, Lucas",476595,"L",,,"41.3",,,"88.6",,"63.3",
"Fleming, Josh",676596,"L",,"89.1","31.6","87.2",,"52",,,
"Borucki, Ryan",621366,"L",,"93.2",,"94.1",,,"21.8",,
"Jansen, Kenley",445276,"R",,"96.4","80",,,,"51.8",,
"Chavez, Jesse",445926,"R",,"93.8","65.1","96.6",,"74.5",,,
"Bummer, Aaron",607481,"L",,"79.3","22.7",,,,,"78.8",
"Smyly, Drew",592767,"L",,"98.8","72.8",,,"24.7",,,
"Cobb, Alex",502171,"R",,"90.9",,,"79.2","67.1",,,
"McHugh, Collin",543521,"R",,,"47.7",,,"80.6",,"52.1",
"Young, Danny",664849,"L",,"86.6",,,,,,"54.7",
"Loup, Aaron",571901,"L",,"94.9","14","99.3",,"67.3",,,
"Sánchez, Cristopher",650911,"L",,"98.5",,"88.8",,,"19.7",,
"Vasquez, Andrew",607755,"L",,"79.6",,,,,"68.6",,
"Fedde, Erick",607200,"R",,"72.3","51.1","86.3",,"67.5",,"68.7",
"Bird, Jake",656234,"R",,"85","47.4","83.8",,"80.4",,,
"Wood, Alex",622072,"L",,"98.9",,"93.2",,,"25.1",,
"Hader, Josh",623352,"L",,"98.6",,"94.7",,,"19.2",,
"Peacock, Matt",676840,"R",,"95.7",,,,,"11.3",,
"Ashcraft, Graham",668933,"R",,"63","56.3","80.7",,,"53.4",,
"Peguero, Elvis",665625,"R",,"93.4",,,,,"12.5",,
"Matz, Steven",571927,"L",,"99.3",,"83.3",,"84.8","56.8",,
"Smith, Chad",663385,"R",,"92",,,,,"23.6",,
"McFarland, T.J.",519008,"L",,"89.3",,"93.2",,,"44.9",,
"De los Santos, Yerry",660787,"R",,"92.4",,,,,"27.3",,
"Fletcher, Aaron",667465,"L",,"92.5",,"83.9",,,"35",,
"Singer, Brady",663903,"R",,"85.8",,"94.8",,,"21.3",,
"Holderman, Colin",670059,"R",,"86.2","32.3",,,,"29",,
"Zeuch, T.J.",643615,"R",,"75.2","25.6","95.4",,,"36.4",,
"Llovera, Mauricio",661440,"R",,"87",,,,,"46.5",,
"Thompson, Mason",666168,"R",,"92.6",,,,,"28.9",,
"Lawrence, Justin",664875,"R",,"87.5",,,,,,"51.2",
"Raley, Brooks",548384,"L",,"73.6","36.6","84",,,,"59.5",
"Hjelle, Sean",663546,"R",,"88.9",,"93.2",,"19.2",,,
"Holmes, Clay",605280,"R",,"82.2",,,,,"26.4","46.8",
"Hicks, Jordan",663855,"R",,"86.7",,"94.7",,,,"50.1",
"Fishman, Jake",670288,"L",,"93.9",,,,,"69.4",,
"Norwood, James",656803,"R","99.7",,,,"85.6",,"40.3",,
"Rosenberg, Kenny",670046,"L","99.7",,"33.1","97.7",,,"37.9",,
