"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Heaney, Andrew",571760,"L","99.3",,,"99.2",,"42.4","40.7",,
"Giolito, Lucas",608337,"R","99.3",,,"98.7",,"76.4","28.8",,
"Plesac, Zach",668676,"R","99.3",,,"98.8",,"62.2","54.4",,
"Odorizzi, Jake",543606,"R","99.2",,"62",,"89.1","66.7","46.5",,
"Whitley, Kodi",676831,"R","99.2",,,"99.3",,,"43.7",,
"Cotton, Jharel",605194,"R","99.2",,,"77.4",,"68.2","30",,
"García, Jarlín",606424,"L","99.1","99.2",,"98.4",,,"37.1",,
"Harvey, Hunter",640451,"R","99.1",,,,"91.2","83.8","26",,
"Gallegos, Giovanny",606149,"R","99.1",,,"98.3",,,"13.1",,
"Kowar, Jackson",663804,"R","99.1",,,"86.5",,,"45.5",,
"Rogers, Josh",642028,"L","99.1",,,"99.2",,,"17.7",,
"Stanek, Ryne",592773,"R","99.1",,,,"94.4",,"21.9",,
"Pérez, Francisco",660906,"L","99",,,"99.3",,,"24.9",,
"Weathers, Ryan",677960,"L","99","98.6",,"93",,,"36","38",
"Morgan, Eli",669212,"R","99",,"92.8","85.5",,"66.8","35.8",,
"Urquidy, José",664353,"R","99",,,"97.7",,"81.2",,"51.8",
"Weems, Jordan",607179,"R","99",,,,"95.7",,"37.3",,
"Lowther, Zac",675912,"L","99",,,"99.2",,"94.2","54.3",,
"Doolittle, Sean",448281,"L","98.9",,,,"94.7","37.7","44.4",,
"Brebbia, John",605154,"R","98.9",,,,,,"40.2",,
"Santos, Antonio",665733,"R","98.9",,,"97.9",,"51.5","39.1",,
"Nolin, Sean",543594,"L","98.8",,"47.7","96.3",,"93.6",,,
"Tropeano, Nick",607374,"R","98.8","97.6",,"98.9","86.1",,"19.6",,
"Finnegan, Kyle",640448,"R","98.8",,,,"88.8",,"46.9",,
"Smith, Caleb",592761,"L","98.8",,,"99.4",,"53.7","34.8",,
"Gose, Anthony",543238,"L","98.8",,,,,,"57.8",,
"Cabrera, Génesis",650893,"L","98.8","95.8",,"98.9",,"74.7",,,
"Bowden, Ben",641386,"L","98.8",,,"98.8",,,"20.9",,
"Swanson, Erik",657024,"R","98.8",,,,"85.1",,"31",,
"Estévez, Carlos",608032,"R","98.7",,,"94.5",,,"34.1",,
"Hoffman, Jeff",656546,"R","98.7",,,,"98.6","83.6","45.1",,
"Heasley, Jonathan",669169,"R","98.7",,,"96",,"69.5",,,
"Abreu, Albert",656061,"R","98.7","99",,"98.8",,,"27.9",,
"Springs, Jeffrey",605488,"L","98.7",,,"98.8",,,"31.2",,
"Paddack, Chris",663978,"R","98.6",,,"93",,"96.9",,,
"Eickhoff, Jerad",595191,"R","98.6",,,"82.3",,"59.7","31.7",,
"Kuhl, Chad",641771,"R","98.6","97.2",,"95.5",,"74.2","31.1",,
"Faria, Jake",607188,"R","98.6",,,,"91.8","94","41.3",,
"Jackson, Andre",656578,"R","98.6",,,"89.6",,,"57.1",,
"Conley, Adam",543045,"L","98.5",,,"97.1",,,"16.6",,
"Luzardo, Jesús",666200,"L","98.5","98.1",,"98.8",,,"13.1",,
"Wacha, Michael",608379,"R","98.5","97.4","55.9","89.1",,"83.7",,,
"Thorpe, Lewis",626929,"L","98.4",,,"96.6",,"85.1","52.7",,
"Canning, Griffin",656288,"R","98.4",,,"94.7",,"39.5","14",,
"Holland, Derek",502706,"L","98.4","98.8",,"95.5",,"18",,,
"Diekman, Jake",518617,"L","98.4","98.7",,,,,,"36.3",
