"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Misiewicz, Anthony",664948,"L",,,"35.7","79.2",,"74.5",,,
"McFarland, T.J.",519008,"L",,"90.3",,"93",,,,"66.4",
"Priester, Quinn",682990,"R",,"81.3","62.2","96.4",,"55.7","28.5",,
"Jansen, Kenley",445276,"R",,"96.1","81.8",,,,"41.9","43.6",
"Young, Danny",664849,"L",,"85.3",,,,,,"57.3",
"Thomas, Connor",671162,"L",,"73.5","14","81.2",,,,"59.1",
"Hagenman, Justin",663795,"R",,"96.2","51.2","94.2",,,"24.5",,
"Murdock, Noah",668716,"R",,"68.5","23.9",,,,,"55.3",
"Ginn, J.T.",669372,"R",,"74.9","63.5","77.4",,,"22",,
"Pop, Zach",647315,"R",,"85","51.7",,,,"45.8",,
"Rogers, Tyler",643511,"R",,"73.6",,,,,"59.3",,
"McDaniels, Garrett",680729,"L",,"66",,,,,"19.5",,
"Mederos, Victor",682989,"R",,"90.8",,"97.7",,,"36.9","43.3",
"Doval, Camilo",666808,"R",,"49","55",,,,"40",,
"Robertson, David",502085,"R",,"75","64.5",,,"66.3","45",,
"Bachman, Sam",696147,"R",,"95.4",,"85.9",,,"17.9",,
"Johnson, Ryan",696270,"R",,"67.6","42.4",,"82.4",,"43.4","53",
"Raley, Brooks",548384,"L",,"77.5","37.6","86.9",,,,"51.9",
"Mantiply, Joe",573009,"L",,"90.3",,"98.5",,"50.7",,,
"Bird, Jake",656234,"R",,"73.6","54.4",,,"85.5",,"53",
"Leiter Jr., Mark",643410,"R",,"92.8","59.7",,"86.6","97.7","38.5",,
"Spence, Mitch",687765,"R",,"52.3","27.1","69.4",,"68.7","50.2",,
"Darrell-Hicks, Michael",690382,"R",,"85.1","36.4",,,,,"55.8",
"Burnes, Corbin",669203,"R",,"74","62","77.7",,"70.7","37.8",,
"Backhus, Kyle",679775,"L",,"96",,"98.2",,,,"48.4",
"Burgos, Juan",686228,"R",,"69.3","32.6",,,,,"55",
"Hoeing, Bryan",663773,"R",,"94.5",,,"86.9",,"32.9",,
"Garcia, Brandyn",805299,"L",,"85.2",,,,,"20.5","65.7",
"Saucedo, Tayler",642048,"L",,"87.1",,"95.4",,,"27.4","47.4",
"Santos, Gregory",666619,"R",,"57.4",,,,,"40.4",,
"Peguero, Elvis",665625,"R",,"91.9",,,,,"27.1",,
"Bautista, Félix",642585,"R",,"99.4",,,"97.3",,"36.2",,
"Alexander, Scott",518397,"L",,"76.3",,"67.4",,,"32.1",,
"Hjelle, Sean",663546,"R",,"70.9","44",,,"52.1",,,
"Brubaker, JT",664141,"R",,"86.2",,"84.6",,"49.3","12.9",,
"Valdez, Framber",664285,"L",,"75.4",,"77.6",,"82.3","29.3",,
"Dodd, Dylan",689266,"L",,"98.2","48.2","62.2",,,"13.9",,
"Walker, Ryan",676254,"R",,"78",,,,,"52.7",,
"McDonald, Trevor",686790,"R",,"85.6","30.9","96.8",,,"31.3",,
"Hader, Josh",623352,"L",,"99.5",,"93.3",,,"18.2",,
"O'Brien, Riley",676617,"R",,"85",,,,,"23.7","67.4",
"Guenther, Sean",674944,"L",,"76.1",,,"98.2",,"69.9",,
"Matz, Steven",571927,"L",,"99.5",,"81.8",,"81.1","37.1",,
"Dunning, Dane",641540,"R",,"86.3","70.8","99.1",,"99.3","41.6",,
"Bernardino, Brennan",657514,"L",,"75.5","25.8","88.9",,"54.4","16.8",,
"Suero, Wander",593833,"R",,,"79.6","92.5",,,,,
"Whitlock, Garrett",676477,"R",,"99.4",,"86",,,"53.3","54.9",
"Chavez, Jesse",445926,"R",,"90.1","69.9","95",,,,,
"Criswell, Cooper",681867,"R",,"74.4","44.8","87",,,,"74.9",
"Maton, Phil",664208,"R",,"72","60.5",,,"91.8",,"43.7",
"Sánchez, Cristopher",650911,"L",,"92.7",,"84.6",,,"21.5",,
"Borucki, Ryan",621366,"L",,"95.4",,,"89.9",,"15.7","46.6",
"Mayza, Tim",641835,"L",,"87.3",,,,,"15.8",,
"Tate, Dillon",622253,"R",,"92.2",,"68.4",,,,"35.9",
"Alvarado, José",621237,"L",,"94.1","40.3",,,"49.4",,,
"Rogers, Taylor",573124,"L",,"89.3",,,,,,"67.3",
"Little, Brendon",663893,"L",,"70.6","41",,,"76.4",,,
"Clase, Emmanuel",661403,"R",,,"64.3",,,,"40.3",,
"Nance, Tommy",667297,"R",,"83.6",,,,"78.7","14.6",,
"Bruihl, Justin",677865,"L",,"80","29.1",,,,,"65.2",
"Mey, Luis",682825,"R",,"72.3",,,,,"32.2",,
"Funderburk, Kody",681892,"L",,"79.2","63.5","85",,,"26.9","59",
"Ashcraft, Graham",668933,"R",,,"48.1",,,,"37.7",,
"Fluharty, Mason",689254,"L",,,"42.2",,,,,"57.4",
"Topa, Justin",623437,"R",,"89.5","41.9","81.1",,,,"46",
"Roberts, Ethan",681799,"R",,,"47.6",,,,,"70.4",
"Mahle, Tyler",641816,"R","99.7",,"46.7",,"91.1",,"28.9",,
"Miller, Shelby",571946,"R","99.7",,,,"88.8",,,"46.1",
"Gomber, Austin",596295,"L","99.6",,"59.7","97.8","79.5","79.2","34.5",,
"Moreta, Dauri",664294,"R","99.6",,,,,,"16.3",,
"Blubaugh, AJ",805123,"R","99.6",,,"86.3",,"86",,"55.1",
"Dreyer, Jack",676263,"L","99.6",,,,,"90.8","23.6",,
"Brebbia, John",605154,"R","99.5",,,"95.3",,,"42.9",,
"Giolito, Lucas",608337,"R","99.5",,,"99",,"90.2","29.7",,
"Yesavage, Trey",702056,"R","99.5",,,,"90.2",,"53.2",,
"Paddack, Chris",663978,"R","99.5","99.1","58.4","97.3",,"89.1","24.1",,
"Hernández, Daysbel",678226,"R","99.5",,,,,,"17.9",,
"Stanek, Ryne",592773,"R","99.5",,,,"94.5",,"21.7","41.3",
"Parker, Mitchell",680730,"L","99.4",,,,"92.2","51.7","20.4",,
"Myers, Tobias",668964,"R","99.4",,"71.3","98.3","90.9","61.2","42.1",,
"Heaney, Andrew",571760,"L","99.4","96.5",,"99.6",,"62.2","19.2",,
"Lee, Dylan",669276,"L","99.4",,,"98.6",,,"43.5",,
"Ferrer, Jose A.",678606,"L","99.3","99.3",,"93.5",,,"16.3",,
"Petty, Chase",695534,"R","99.3","98.8",,"99.1",,,"17","36.5",
"Gordon, Tanner",685299,"R","99.3",,,"94.3",,,"20",,
"Palencia, Daniel",694037,"R","99.3",,,,"90.5",,"23.8",,
"Chivilli, Angel",683409,"R","99.3",,,"93.2",,,"25.7",,
"Cantillo, Joey",676282,"L","99.3",,,"98.1",,"95.5","39.2",,
"Garcia, Rico",670329,"R","99.3",,,"98.5",,"54.5","14.8",,
"Ohl, Pierson",701487,"R","99.3",,"44.9","83.8",,"75.5",,,
"Imanaga, Shota",684007,"L","99.3","91.4",,,"95.1","80.2","23.6","35.1",
"Finnegan, Kyle",640448,"R","99.2",,,,"91.7",,"23.7",,
"Anderson, Tyler",542881,"L","99.2","95.7","62.8","94.5",,,"33.2",,
"Poche, Colin",621363,"L","99.2",,,,,,"44.9",,
"Marinaccio, Ron",676760,"R","99.2",,"46.2","92.8",,,,"45.3",
"Miller, Bobby",676272,"R","99.2","98.6",,"98.4",,"83.9","33.4",,
"Blalock, Bradley",687134,"R","99.2",,"50.7",,"92.8","61","34.6",,
"Richards, Trevor",670950,"R","99.2",,,"61.3",,,"22.4",,
"Springs, Jeffrey",605488,"L","99.1",,"56.9","95.8",,,"30","55.8",
"Quantrill, Cal",615698,"R","99.1","98.2","42.1",,"94.7","47","21.5",,
"Orze, Eric",679358,"R","99.1",,,,"75.3",,"40.9",,
"Seabold, Connor",657756,"R","99.1",,"46","82",,,,,
"Duran, Jhoan",661395,"R","99.1","87.7",,,,"60.1",,"55.5",
"Farris, Mitch",815083,"L","99",,,"99.1",,,"15.3",,
"Harvey, Hunter",640451,"R","99",,,,"86.2","87","23.1",,
"Estévez, Carlos",608032,"R","99",,,"86.5",,,"39.3",,
"Halvorsen, Seth",678020,"R","99",,,,"91.9",,"32.2",,
"Petersen, Michael",656848,"R","99",,,,,,"29.2",,
"Detmers, Reid",672282,"L","99","98.8",,,,"90.8","30",,
"Dana, Caden",702674,"R","99",,,"97.4",,"96.5","32.9",,
"Yarbrough, Ryan",642232,"L","99","98.6","46.4","92.1",,,,"62",
"Molina, Anthony",683627,"R","99","99.4","78.1","93.3",,"30","56.8",,
"Fernandez, Ryan",681676,"R","98.9",,"57.7","90.8",,,"20.7",,
"Nelson, Ryne",669194,"R","98.9",,"62.2","99",,"63.5","34.4",,
"Falter, Bailey",663559,"L","98.9","98",,,"95.2","37.3","61.4",,"47.5"
"Whisenhunt, Carson",687931,"L","98.8",,,"93.7",,,"29",,
"Ureña, José",570632,"R","98.8","97.3",,"98.9","85.3",,"50.1",,
"Castro, Miguel",612434,"R","98.8","98",,"91.8",,,"48.7",,
"Pepiot, Ryan",686752,"R","98.8","94.8","65.2","80.5",,"82.6","50.8",,
"Morgan, Eli",669212,"R","98.7",,,"92.5",,,"17.2",,
"Sheehan, Emmet",686218,"R","98.7",,,"98.5",,"85","26.4",,
"Estrada, Jeremiah",669093,"R","98.7",,,,"97.5",,"41.6",,
"De los Santos, Yerry",660787,"R","98.7","97.5",,"88.4",,,"22.9",,
"Ragans, Cole",666142,"L","98.7",,"38.2","99.5",,"92","26",,
"Wacha, Michael",608379,"R","98.6","96.3","62.4","78.2",,"86.8","29.8",,
"Tong, Jonah",804636,"R","98.6",,,"98.9",,"80.5","35.8",,
"Loutos, Ryan",702795,"R","98.6","97.7",,"90.5",,,"38","43.1",
"Klein, Will",694361,"R","98.6",,"43.6",,,"82.8",,"38.2",
"Gordon, Colton",676467,"L","98.6","98","39.6","91.2",,"59.6",,"40.5",
"Herget, Kevin",643361,"R","98.5",,"40.4","99.1",,,,,
"Harrison, Kyle",690986,"L","98.5","98.6","25","95.4",,,,,"41.1"
"Mattson, Isaac",676755,"R","98.4",,,"94.9",,,"40.1",,
"Lara, Andry",691251,"R","98.4","98.3",,,"96.2",,"23.1",,
"Brzykcy, Zach",694350,"R","98.4",,,"99.3",,"60",,,
"Harris, Hogan",663687,"L","98.3",,"67.5","99.2",,"95.9","34.5","70.1",
"Effross, Scott",664123,"R","98.3","98.5",,"96.7",,,,"22.1",
"Peralta, Luis",678821,"L","98.3",,,"98",,"59.1",,,
"Yoho, Craig",684974,"R","98.3",,"54.6","88.7",,,,"95.3",
"Estrada, Lazaro",681751,"R","98.3",,,,,"84.7","34.5",,
"Lodolo, Nick",666157,"L","98.2","98.9",,"96",,"41.2",,,
