"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Covey, Dylan",592229,"R",,"79","62",,"77.6",,"31","41.3",
"Mejía, J.C.",650496,"R",,"84.5",,,,,"34.2",,
"Jacques, Joe",682175,"L",,"97",,,,,,"63.3",
"Raley, Brooks",548384,"L",,"65.5","31.8","82",,,,"57.2",
"Llovera, Mauricio",661440,"R",,"83.3","47.2",,,,"53.5",,
"Bernardino, Brennan",657514,"L",,"76.5",,"93.7",,"65.9",,,
"Yacabonis, Jimmy",642231,"R",,"91.9",,"98.2",,,,"70.6",
"Rodríguez, Joely",570257,"L",,"91.2",,"98.3",,,"33.4",,
"Jansen, Kenley",445276,"R",,"94.7","78.6",,,,"49.1",,
"Criswell, Cooper",681867,"R",,"83.9","38.2","87.4",,,"37.8","71.1",
"Hartwig, Grant",701643,"R",,"96.1","67","97.5",,,,"44.4",
"Hernández, Jonathan",642546,"R",,"91",,"94.8",,,"30.6",,
"Selby, Colin",681882,"R",,"89.2",,,,"90.7","26.4",,
"Young, Danny",664849,"L",,"88",,,,,,"64.1",
"Holderman, Colin",670059,"R",,"82.5","39.3",,,,,"42.1",
"Suero, Wander",593833,"R",,,"71","77.6",,,,,
"Mayza, Tim",641835,"L",,"87.4",,,,,"16.8",,
"De los Santos, Yerry",660787,"R",,"98.1",,"97.2",,,"25.2",,
"Pop, Zach",647315,"R",,"80.9",,,,,"33.8",,
"La Sorsa, Joe",686747,"L",,"89.7","41","95.5",,,,"54.7",
"Borucki, Ryan",621366,"L",,"92.8",,"95.1",,,"31.2","38.4",
"Bautista, Félix",642585,"R",,"98.2",,,"91.6",,"34.4",,
"Sánchez, Cristopher",650911,"L",,"97.9",,"94",,,"35.8",,
"Vespi, Nick",663989,"L",,,"35.6",,,"63.3","42",,
"Alvarado, José",621237,"L",,"96","40.9",,,,,,
"Chavez, Jesse",445926,"R",,"91.3","63.7","97.2",,"80.2",,,
"Luetge, Lucas",476595,"L",,,"43.6",,,"89.5",,"64.1",
"Hader, Josh",623352,"L",,"98.7",,"94.2",,,"14.4",,
"Fulmer, Carson",608334,"R",,"79.6",,"92.7",,"63.5","29.5",,
"Schmidt, Clarke",657376,"R",,"51.8","35.9","47.4",,"72",,"40",
"Cordero, Jimmy",622772,"R",,"89.7",,,,,"34.6",,
"Holmes, Clay",605280,"R",,"74.4",,,,,"30.3","53.8",
"González, Victor",624647,"L",,"96.6",,"98.2",,,"8.3",,
"Weber, Ryan",543901,"R",,"93.6",,"93.9",,,"67.5",,
"Cronin, Declan",686539,"R",,"61",,,,,"40.9","71.8",
"Navarro, Edgar",679346,"R",,"73.4",,,,,"54.9",,
"Ramírez, Yohan",670990,"R",,"86.2",,"98.7",,,,"52.4",
"Santos, Gregory",666619,"R",,"62.2",,"65.9",,,"31.8",,
"Shaw, Bryan",543766,"R",,"63.3","51.4","74.4",,"89.7",,"55.1",
"Funderburk, Kody",681892,"L",,"81.1","57.3",,,,,"54.6",
"Saalfrank, Andrew",685314,"L",,"76.1",,,,"66.1",,,
"Bachman, Sam",696147,"R",,"98.5",,,,,"10.1",,
"Cobb, Alex",502171,"R",,"86.6",,,"79.1","73.6","47.1",,
"Keuchel, Dallas",572971,"L",,"84.8","38.5","90.1",,,"29.6",,
"Foley, Jason",671345,"R",,"93.9",,"98.6",,,"26.2",,
"Alexander, Scott",518397,"L",,"74.2",,"82.3",,,"44.6",,
"Bristo, Braden",668754,"R",,"83.4","37.2","94.2",,,,"40.7",
"Rogers, Taylor",573124,"L",,"87.2","29.8",,,,,"63.8",
"Snider, Collin",676092,"R",,"57.8","29.9",,,,"49.7","58.8",
"Junis, Jakob",596001,"R",,"72.6",,"80.6",,,"47.9",,
"Wood, Alex",622072,"L",,"99.4",,"96.8",,,"38.4",,
"Smyly, Drew",592767,"L",,"98.6","64.7",,,"36.3",,,
"Rogers, Tyler",643511,"R",,"72.6",,,,,"61.6",,
"Hjelle, Sean",663546,"R",,"83.8",,"79.1",,"51.1",,,
"Maton, Phil",664208,"R",,"60.3","49.7",,,"97.2",,"67.2",
"Valdez, Framber",664285,"L",,"83.8","29.3","85.1",,"76","30.3",,
"McArthur, James",663704,"R",,"85.7",,,,"85.4","17.4",,
"Doval, Camilo",666808,"R",,"69.2","72",,,,"27.2",,
"Walker, Ryan",676254,"R",,"71.4",,,,,"56.8",,
"King, John",667463,"L",,"82.6",,"94.3",,,"17.3",,
"Naile, James",664942,"R",,"78.6",,"84.7",,"57.3",,,
"Bruihl, Justin",677865,"L",,"74.5","45.1",,,,,"56.5",
"Lawrence, Justin",664875,"R",,"82.7",,,,,,"51.4",
"Clase, Emmanuel",661403,"R",,,"57",,,,"38",,
"Bird, Jake",656234,"R",,"73.7","43.5",,,"83.3","43.6",,
"Blach, Ty",621389,"L",,"99.3","32.4","99.3",,"53.4",,,
"Carasiti, Matt",571539,"R",,"96.4","67.9",,"95.9",,,,
"Matz, Steven",571927,"L",,"99.2",,"83.2",,"77.1","44.8",,
"Ashcraft, Graham",668933,"R",,"48.7","43.1",,,,"49.6",,
"Topa, Justin",623437,"R",,"85.8","48.8","94.8",,,,"53.7",
"McCaughan, Darren",670766,"R",,"85.1",,"99.3",,,,"42",
"Burnes, Corbin",669203,"R",,"70.1","57.3","72.5",,"73.4","40.2","53.1",
"Smith, Chad",663385,"R",,"92.7",,,,,"21.9",,
"Peguero, Elvis",665625,"R",,"92.9",,,,,"16.5",,
"Robertson, David",502085,"R",,,"71","77.2",,"66.8","45.2",,
"Rosenberg, Kenny",670046,"L","99.6",,"20.4","99",,"62.8",,,
"Gomber, Austin",596295,"L","99.5",,,"97.5",,"81.6","38.4",,
"Williamson, Brandon",682227,"L","99.5",,"52.6","98.8",,"83.4","31.5","44.7",
"Jackson, Andre",656578,"R","99.5",,,"92.3",,"96.1","28.5",,
"Abreu, Albert",656061,"R","99.5","99.5",,"99.5",,,"37.2",,
"Whitlock, Garrett",676477,"R","99.5","99.3",,"90.1",,,,"66.2",
"Bradford, Cody",674003,"L","99.4",,"52.7","99.2",,,"32",,
"Hernandez, Jose E.",669796,"L","99.4",,,"99.2",,,"18.8",,
"Stanek, Ryne",592773,"R","99.4",,,,"95.8",,"24.4",,
"Plesac, Zach",668676,"R","99.4",,,"98.6",,"29.3","52",,
"Miller, Bobby",676272,"R","99.4","98.8",,"96.9",,"77.2","37.9","50.5",
"Heaney, Andrew",571760,"L","99.4",,,"99.3",,,"27.6",,
"Swanson, Erik",657024,"R","99.4",,,,"94.9",,"31.6",,
"Mahle, Tyler",641816,"R","99.4",,,,"87.5",,"35.5",,
