player_name,game_year,pitch_type,release_speed,pfx_x,pfx_z,n,total_n,usage_pct,min_dist_to_target,closest_target_pitch,cluster,_sil,cluster_label,biomech_distance,sim_weight
"Anderson, Tyler",2021,CH,80.9021840873635,1.0789703588143527,1.136770670826833,641,2601,0.24644367550941945,1.5640752883190912,CH,0,0.3092847325138318,CU,1.333645162081263,0.749824075105063
"Means, John",2024,CH,82.04945054945055,1.041978021978022,1.3772527472527472,91,320,0.284375,1.6490810059110879,FF,0,0.29361227038349563,CU,1.0909234495178974,0.9166537613506794
"Hill, Rich",2023,CU,72.06331775700934,-1.4006191588785049,-1.0519859813084111,856,2373,0.36072482090181207,2.804952035526715,ST,1,0.5440126840135637,CU,1.126104127312255,0.8880165587974563
"Happ, J.A.",2021,CU,76.36666666666666,-0.3781818181818182,-0.4312121212121212,33,2673,0.012345679012345678,1.681486893874162,ST,0,-0.02705156679711688,CU,0.9240022390771215,1.0822472884389265
"Quintana, Jose",2025,CU,78.19873417721519,-0.4959493670886076,-0.5100632911392405,316,2174,0.1453541858325667,1.6212153220465233,ST,0,0.0005963518408534418,CU,1.0008675561044527,0.9991321976305928
"Smith, Will",2022,CU,76.90555555555555,-0.7383333333333334,-0.6708888888888889,90,985,0.09137055837563451,1.850733458072272,ST,1,0.4095613072935057,CU,1.0745607476344037,0.930611946871785
"Ryu, Hyun Jin",2021,CU,73.97430340557275,-0.979969040247678,-1.1303405572755418,323,2681,0.12047743379336069,2.7102684001724215,ST,1,0.6199128842262581,CU,1.1753461271937553,0.8508124764703242
"Boyd, Matthew",2021,CU,73.503125,-1.0425,-1.3198958333333333,96,1272,0.07547169811320754,3.021909994474893,ST,1,0.5823417154429359,CU,0.5313270475386527,1.882076439654266
"Dayton, Grant",2021,CU,77.22528735632184,-0.30701149425287355,-0.9726436781609196,87,250,0.348,2.4103516836967644,ST,1,0.36449064514724533,CU,1.0750705015063624,0.9301706896693158
"Gonzales, Marco",2024,CU,79.04363636363635,0.029636363636363634,-0.5085454545454545,55,546,0.10073260073260074,1.899881198760323,ST,0,0.2692542599819466,CU,1.1560459860740924,0.8650167441688299
"Morimando, Shawn",2021,CU,74.788,-0.56,-1.0270000000000001,50,199,0.25125628140703515,2.552631630637274,ST,1,0.5604459567407339,CU,0.9370794009339743,1.0671442909309752
"Peters, Dillon",2022,CU,77.31195652173913,-0.9764130434782609,-0.8709782608695652,92,634,0.14511041009463724,2.1058800477908077,ST,1,0.5578444928216475,CU,1.318386551799691,0.758502307333629
"Suarez, Ranger",2022,CU,76.61243781094528,-0.8090049751243782,-0.7179104477611941,201,2564,0.07839313572542901,1.9267633145457281,ST,1,0.49133916278323336,CU,1.2746838223350723,0.7845076543455801
"Suárez, Ranger",2025,CU,73.97814910025707,-0.9481748071979433,-0.7187403598971722,389,2426,0.16034624896949712,2.1339921370808157,ST,1,0.5404082344311549,CU,1.102571126572251,0.9069701436303002
"Lauer, Eric",2023,CU,75.30095238095238,-0.5445714285714286,-0.6091428571428571,105,844,0.12440758293838862,1.9348033703297625,ST,1,0.3274751296247437,CU,0.7964106661113818,1.2556320337228026
"Díaz, Jhonathan",2024,CU,73.05499999999999,-1.1869999999999998,-1.165,20,166,0.12048192771084337,2.841395126853408,ST,1,0.5904083509980784,CU,0.31631608852974036,3.16138468727079
